ISSN,ISSN_L,TITLE,TITLE_SOURCE,year_flipped,title,issn_type,period,year_active_since_str,year_active_since
0032-1400,0032-1400,Platinum Metals Review,DOAJ,1998,Platinum Metals Review,issn_print,"1.1957 - 48.2004,2",1957 -,1957
0032-5449,0032-5449,Postępy Higieny i Medycyny Doświadczalnej,DOAJ,2004,Postępy Higieny i Medycyny Doświadczalnej,issn_print,1.1949 - 57.2003,1949 -,1949
0032-5449,0032-5449,Postępy Higieny i Medycyny Doświadczalnej,DOAJ,2004,Postępy Higieny i Medycyny Doświadczalnej,issn_print,Nachgewiesen 48.1994 -,1994 -,1994
1732-2693,0032-5449,Postępy Higieny i Medycyny Doświadczalnej,DOAJ,2004,Postępy Higieny i Medycyny Doświadczalnej,issn_e,1.1949 - 57.2003,1949 -,1949
1732-2693,0032-5449,Postępy Higieny i Medycyny Doświadczalnej,DOAJ,2004,Postępy Higieny i Medycyny Doświadczalnej,issn_e,Nachgewiesen 48.1994 -,1994 -,1994
2084-9893,0033-2526,Przegląd Dermatologiczny,DOAJ,2009,Przegląd Dermatologiczny,issn_e,Nachgewiesen 1914/18 - 1951; 1959 -,1959 -,1959
0033-2526,0033-2526,Przegląd Dermatologiczny,DOAJ,2009,Przegląd Dermatologiczny,issn_print,Nachgewiesen 1914/18 - 1951; 1959 -,1959 -,1959
0033-2526,0033-2526,Przegląd Dermatologiczny,DOAJ,2009,Przegląd Dermatologiczny,issn_print,"35.1948,März - 37.1950; 46.1959 -",1959 -,1959
0034-7094,0034-7094,Revista Brasileira de Anestesiologia,DOAJ,2001,Revista Brasileira de Anestesiologia,issn_print,Nachgewiesen 52.2002 -,2002 -,2002
0034-7094,0034-7094,Revista Brasileira de Anestesiologia,DOAJ,2001,Revista Brasileira de Anestesiologia,issn_print,1.1951 -,1951 -,1951
0034-7094,0034-7094,Revista Brasileira de Anestesiologia,DOAJ,2001,Revista Brasileira de Anestesiologia,issn_print,Nachgewiesen 3.1974 - 33.2004; damit Ersch. eingest.,1974 -,1974
0034-7094,0034-7094,Revista Brasileira de Anestesiologia,DOAJ,2001,Revista Brasileira de Anestesiologia,issn_print,Nachgewiesen Nr. 5.1988/2001 -,2001 -,2001
1806-907X,0034-7094,Revista Brasileira de Anestesiologia,DOAJ,2001,Revista Brasileira de Anestesiologia,issn_e,Nachgewiesen 52.2002 -,2002 -,2002
1806-907X,0034-7094,Revista Brasileira de Anestesiologia,DOAJ,2001,Revista Brasileira de Anestesiologia,issn_e,1.1951 -,1951 -,1951
0034-7167,0034-7167,Revista Brasileira de Enfermagem,DOAJ,1983,Revista Brasileira de Enfermagem,issn_print,Nachgewiesen 60.2007 -,2007 -,2007
1984-0446,0034-7167,Revista Brasileira de Enfermagem,DOAJ,1983,Revista Brasileira de Enfermagem,issn_e,Nachgewiesen 60.2007 -,2007 -,2007
0034-7744,0034-7744,Revista de Biología Tropical,DOAJ,1998,Revista de Biología Tropical,issn_print,Nachgewiesen 1.1953 -,1953 -,1953
0034-7744,0034-7744,Revista de Biología Tropical,DOAJ,1998,Revista de Biología Tropical,issn_print,3.1996 -,1996 -,1996
0034-7744,0034-7744,Revista de Biología Tropical,DOAJ,1998,Revista de Biología Tropical,issn_print,Nachgewiesen 1.1953 -,1953 -,1953
0034-7744,0034-7744,Revista de Biología Tropical,DOAJ,1998,Revista de Biología Tropical,issn_print,3.1996 -,1996 -,1996
0034-7744,0034-7744,Revista de Biología Tropical,DOAJ,1998,Revista de Biología Tropical,issn_e,Nachgewiesen 1.1953 -,1953 -,1953
0034-7744,0034-7744,Revista de Biología Tropical,DOAJ,1998,Revista de Biología Tropical,issn_e,3.1996 -,1996 -,1996
0034-7744,0034-7744,Revista de Biología Tropical,DOAJ,1998,Revista de Biología Tropical,issn_e,Nachgewiesen 1.1953 -,1953 -,1953
